"MatchingRule","Record1Identifier","Record2Identifier","TotalSimilarity","IsMatch","[0] RestaurantNameComparatorLevenshtein record1Value","[0] RestaurantNameComparatorLevenshtein record2Value","[0] RestaurantNameComparatorLevenshtein record1PreprocessedValue","[0] RestaurantNameComparatorLevenshtein record2PreprocessedValue","[0] RestaurantNameComparatorLevenshtein similarity","[0] RestaurantNameComparatorLevenshtein postproccesedSimilarity","[1] RestaurantCityComparatorEqual record1Value","[1] RestaurantCityComparatorEqual record2Value","[1] RestaurantCityComparatorEqual record1PreprocessedValue","[1] RestaurantCityComparatorEqual record2PreprocessedValue","[1] RestaurantCityComparatorEqual similarity","[1] RestaurantCityComparatorEqual postproccesedSimilarity","[2] RestaurantPostalCodeComparatorLevenshtein record1Value","[2] RestaurantPostalCodeComparatorLevenshtein record2Value","[2] RestaurantPostalCodeComparatorLevenshtein record1PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein record2PreprocessedValue","[2] RestaurantPostalCodeComparatorLevenshtein similarity","[2] RestaurantPostalCodeComparatorLevenshtein postproccesedSimilarity"
"LinearCombinationMatchingRule","bookuber_17668","tripadvisor_56710","0.4814814814814815",,"las cuevas de luis candelas","restaurante leomar","las cuevas de luis candelas","restaurante leomar","0.2592592592592593","0.2592592592592593","madrid","madrid","madrid","madrid","1.0","1.0","28005","28005","28005","28005","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17533","tripadvisor_70418","0.4473684210526315",,"café louise","vagenende brasserie","café louise","vagenende brasserie","0.21052631578947367","0.21052631578947367","paris","paris","paris","paris","1.0","1.0","75006","75006","75006","75006","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20774","tripadvisor_27728","0.29600000000000004",,"katana sushi","paulaner am grossneumarkt","katana sushi","paulaner am grossneumarkt","0.28","0.28","hamburg","","hamburg","","0.0","0.0","20459","20459","20459","20459","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_23938","tripadvisor_82267","0.3954545454545455",,"auberge saint augustin","wan cheng","auberge saint augustin","wan cheng","0.13636363636363635","0.13636363636363635","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15080","tripadvisor_75212","0.48421052631578954",,"intuition gourmande","comptoir moderne","intuition gourmande","comptoir moderne","0.26315789473684215","0.26315789473684215","paris","paris","paris","paris","1.0","1.0","75015","75015","75015","75015","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_9961","tripadvisor_23855","0.2346153846153846",,"croquettenbar smaeck","m.g. petersens familiehave","croquettenbar smaeck","m.g. petersens familiehave","0.1923076923076923","0.1923076923076923","antwerpen","frederiksberg","antwerpen","frederiksberg","0.0","0.0","2000","2000","2000","2000","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17464","tripadvisor_73980","0.37777777777777777",,"l'empreinte","bistrot montsouris","l'empreinte","bistrot montsouris","0.11111111111111116","0.11111111111111116","paris","paris","paris","paris","1.0","1.0","75014","75014","75014","75014","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_22633","tripadvisor_76058","0.3350000000000001",,"auguste","besnier pere et fils","auguste","besnier pere et fils","0.050000000000000044","0.050000000000000044","paris","paris","paris","paris","1.0","1.0","75007","75007","75007","75007","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17032","tripadvisor_79688","0.4076923076923077",,"le taillevent","pizza pino","le taillevent","pizza pino","0.15384615384615385","0.15384615384615385","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24841","tripadvisor_71859","0.46333333333333326",,"alain ducasse au plaza athénée","etoile marocaine","alain ducasse au plaza athénée","etoile marocaine","0.23333333333333328","0.23333333333333328","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17115","tripadvisor_72689","0.5",,"restaurant erh","cesar","restaurant erh","cesar","0.2857142857142857","0.2857142857142857","paris","paris","paris","paris","1.0","1.0","75002","75002","75002","75002","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_25420","tripadvisor_94100","0.2590909090909091",,"il tempo wallnerstraße","huth gastwirtschaft","il tempo wallnerstraße","huth gastwirtschaft","0.2272727272727273","0.2272727272727273","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_24984","tripadvisor_29091","0.14999999999999997",,"trüffelschwein","rocas bistro","trüffelschwein","rocas bistro","0.0714285714285714","0.0714285714285714","hamburg","","hamburg","","0.0","0.0","22303","22303","22303","22303","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_21741","tripadvisor_8388","0.16999999999999998",,"alsur café","ferry's","alsur café","ferry's","0.09999999999999998","0.09999999999999998","barcelona","","barcelona","","0.0","0.0","8003","8003","8003","8003","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_20307","tripadvisor_76677","0.35185185185185186",,"le v","cafe du rocher saint lazare","le v","cafe du rocher saint lazare","0.07407407407407407","0.07407407407407407","paris","paris","paris","paris","1.0","1.0","75008","75008","75008","75008","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_15921","tripadvisor_77789","0.4826086956521739",,"lucette fait des crêpes","restaurant j v","lucette fait des crêpes","restaurant j v","0.26086956521739135","0.26086956521739135","paris","paris","paris","paris","1.0","1.0","75009","75009","75009","75009","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_23306","tripadvisor_95185","0.1933333333333333",,"vienna 1st","meinl's weinbar","vienna 1st","meinl's weinbar","0.1333333333333333","0.1333333333333333","wien","vienna","wien","vienna","0.0","0.0","1010","1010","1010","1010","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_17328","tripadvisor_54477","0.4473684210526315",,"la máquina","kilometros de pizza","la máquina","kilometros de pizza","0.21052631578947367","0.21052631578947367","madrid","madrid","madrid","madrid","1.0","1.0","28020","28020","28020","28020","1.0","1.0"
"LinearCombinationMatchingRule","bookuber_4067","tripadvisor_59923","0.4555555555555555",,"carl's jr - goya","hamburguesa nostra","carl's jr - goya","hamburguesa nostra","0.2222222222222222","0.2222222222222222","madrid","madrid","madrid","madrid","1.0","1.0","28001","28001","28001","28001","1.0","1.0"
